Title,Designers,link+url,Designers Work+url,Styles of Play+key,Description,Tags+key
5E Compatible,Mendel Schmiedekamp,http://www.goldencobra.org/pdf/2019/Mendel -- 5ECompatibleLarp.pdf,http://www.silvergardengames.com/projects/5ECompatibleLarp.html,Freeform larp;Tabletop/Pencil & Paper,Where you larp playing D&D without words.,d20 nonverbal communication
All Good Things,Steffie de Vaan,http://www.goldencobra.org/pdf/2019/De Vaan — All Good Things.pdf,https://steffiedevaan.wordpress.com,Freeform larp;Larp,There's a box in the room. Inside the box are all good things. Players need to decide which of them gets the box.,"Connections, Optimistic, Honesty"
Are You There God? It's the Quarterly Earnings Report,Margo Gray,http://www.goldencobra.org/pdf/2019/Gray -- Are you there god its the quarterly earnings report.pdf,margogray.com,Freeform larp;Larp;Chat/Message;Streaming/Online Face to Face,"A larp about faith, friendship, and finding meaning for a group of five to eight players and one facilitator conducted through a video conferencing system. You are an angel convening with your coworkers for your quarterly meeting, where you'll be electing the angel who will lead this division for the next thousand years. It could get ugly. 
","humor, online synchronous gaming, the divine power to be kind of a jerk"
Bleeding Heart of the Woods,Sean Chitty and the List Contributors,http://www.goldencobra.org/pdf/2019/Chitty -- Bleeding Heart of the Woods.pdf,https://docs.google.com/document/d/1HCNnOTg11_-sn0o-8nK2JdI2rjrBC1kV5aUkRYa6GH4/edit?usp=sharing,Larp,Bleeding Heart of the Woods is an in character scavenger hunt for props followed by a group storytelling exercise.,"Scavenging, Campfire, Story Circle "
Burial by Ash,Sadia Bies,http://www.goldencobra.org/pdf/2019/Bies -- Burial by Ash.pdf,https://witchstitches.itch.io/   https://twitter.com/sadiabies,Freeform larp;Larp,It's the end of the world and you've gathered together to be less alone. Ash falls outside and silence looms as you try to make your last night together count. ,"apocalypse, drama, ash, collaborative"
But Still We Must Cherish It,Natalie the Knife,http://www.goldencobra.org/pdf/2019/Pettingill -- But Still We Must Cherish It.pdf,rpgnatalie.itch.io,Larp,You are humanity. The plant is the land. You must keep it safe.,"Environmentalism, Solo, Stewardship, Kinship"
Casting,Katarzyna Suppan,http://www.goldencobra.org/pdf/2019/Suppan - Casting.pdf,,"Freeform larp;Larp;Performance","The New Image Agency is looking for beautiful, exceptional people for their ranks. You, the player, are tasked with showing your best self in front of the judges. The trick is, you differ a bit from what the judges were expecting!","casting, modeling, portrayal, identity"
Catharsis,Laurel Halbany,http://www.goldencobra.org/pdf/2019/Halbany -- Catharsis.pdf,,Freeform larp;Larp,Human volunteers act as mediums for women of Greek myth to talk through their ancient grievances.,"freeform, emotional, myth, memory"
ClusterFubar,Dustin Freeman,http://www.goldencobra.org/pdf/2019/Freeman_ClusterFubar.pdf,https://www.dropbox.com/s/vczed0tklgoo85w/ClusterFubar.pdf?dl=1,"Freeform larp;Larp;Performance","ClusterFubar is about investigating a comedically violent encounter in a small space that went horribly wrong in mere seconds. Players will alternate between playing action scene participants, and investigators in the present figuring what the hell happened.","action, genre-savvy, comedy"
"Court of Ferns, The",Alexa Kirchner,"http://www.goldencobra.org/pdf/2019/The Court of Ferns Signs, The Court of Ferns Rules.pdf",https://akirchner.itch.io/,Freeform larp;Larp;Pervasive Game/Public Play;Zero-Player Games;Arts & Crafts,An arts and crafts bureaucracy game,"bureaucracy, houseplant, roles, crafts"
