Title,Designers,link+url,Designers Work+url,Styles of Play+key,Description,Tags+key,,
The No-Fly List,Jacqueline Bryk,http://www.goldencobra.org/pdf/2020/Bryk_TheNo-FlyList.pdf,https://www.jacquelinebryk.design/,"Freeform larp, Larp, Pervasive Game/Public Play, Chat/Message, Video/Transmedia","A LARP/ARG (LARG?) exploring the creation and dissemination of conspiracy theories, played through Discord.","conspiracy, collaborative worldbuilding, cryptic",,
Metasubversive Golden Cobra Secret Larp,Anonymous,http://www.goldencobra.org/pdf/2020/Anonymous_MetasubversiveGoldenCobraSecretLarp.pdf,,"Larp, Pervasive Game/Public Play, Chat/Message, Covert",A meta larp about anonymously encouraging someone to participate in the golden cobra challenge for the first time,Anonymous Meta Secret Encouraging,,
The Batcave,Gerrit Reininghaus,http://www.goldencobra.org/pdf/2020/Reininghaus_TheBatcave.pdf,http://www.alles-ist-zahl.de,"Freeform larp, Streaming/Online Face to Face, Performance",A 1.5h long lighthearted game for 2 to 5 players where you play a family of bats finding a new home. The game uses a Zoom feature that makes it super easy to turn your video upside-down - so you appear like hanging from the ceiling.,"LAOG, bats, family, fun",,
"Hello, Goodbye: A Larp Duet 
",Ben Bisogno and Naomi Torres-Ortiz,http://www.goldencobra.org/pdf/2020/BisognoTorres-Ortiz_HelloGoodbye.pdf,Ben Bisogno: https://kyotoben.itch.io/,"Letter Writing, Arts & Crafts, Music","""Hello, Goodbye: A Larp Duet"" is about hearts mending and coming together. Each game takes a different take on the practice of crafting letters; the first game, ""I'm Home"", has the theme of reaching out and connecting with loved ones; the second game, ""⏯ MIXTAPE: Letters To A Memory"" has the theme of looking within and finding closure. ""Hello, Goodbye"" is also an expression of the love between two old friends, connecting through the joy of making games, despite literally being a half-a-world apart.
","Letters, Love, Crafts, Music",,
To Boldly Hakuho,Wendy Gorman,http://www.goldencobra.org/pdf/2020/Gorman_ToBoldlyHakuho.pdf,,"Freeform larp, Chat/Message, Streaming/Online Face to Face","To Boldly Hakuho is a live action online game where players take on the roles of a bridge crew needing to communicate with the AI of a starship who refuses to discuss anything other than Hakuho Sho, famous Mongolian-born sumo wrestler.","sumo, comedy, starships, online",,
The Cœuriers,Robbie Boerth,http://www.goldencobra.org/pdf/2020/Boerth_TheCoeuriers.pdf,ludoverse.blogspot.com,"Letter Writing, Arts & Crafts","The Cœuriers is a postal game where the envelopes, letters, and packages become the characters with which the players interact. Participants give birth to The Cœuriers by imagining backstory characters who provide the inspirational seeds for missives and parcels. As the game proceeds, The Cœuriers both transform and are transformed by the messages sent by the players to each other.","letters, packages, empathy",,
The Space Between Us,Wibora Wildfeuer,http://www.goldencobra.org/pdf/2020/Wildfeuer_TheSpaceBetweenUs.pdf,facebook.com/wiborawildfeuer,"Freeform larp, Larp, Chat/Message, Streaming/Online Face to Face","You are: The Mangatas, the most famous family in Spacefleet. 
Your Mission: to find a habitable planet. Because motherplanet Earth isn't gonna do it for much longer. 
After 100 years of cryo sleep you woke up in this remote part of the universe. Now you have to be strong as a family and stick together, if you don't want to lose your mind in the vast emptiness of space. 
Inspired by TV shows like Lost in Space and The Expanse and Nordic Style Larps like Odysseus.
","scifi, space adventure, isolation, family",,
Dawn of the Monster Invasion,Randy Lubin,http://www.goldencobra.org/pdf/2020/Lubin_Dawn_of_the_MonsterInvasion.pdf,https://monster.diegeticgames.com,"Freeform larp, Larp, Streaming/Online Face to Face",A monster movie spoof told in 6 speeches ,"monster, comedy, horror, speeches",,
Talk to Me,Axelle Cazeneuve,http://www.goldencobra.org/pdf/2020/Cazeneuve_TalktoMe.pdf,https://larpinprogress.com/,"Freeform larp, Streaming/Online Face to Face","Talk to Me is a two-player sandbox mini-larp during which the characters get through a crisis by talking without seeing each other. It allows to play out a variety of situations and character relationships, defined through workshops. During the game, the players talk through a door, or using voice-only digital communication.","collaborative, support, feel-better",,
"Well, This Is Awkward...",Chloe Mashiter / rollflipdraw,http://www.goldencobra.org/pdf/2020/Mashiter_WellThisIsAwkward.pdf,http://rollflipdraw.itch.io,"Freeform larp, Larp, Streaming/Online Face to Face","A game for 6 players on video chat, where they play estranged superheroes who are regaining consciousness in the same cell in their archenemy's lair. Over the course of 90 minutes, they move from tense reintroductions to rebuilding their old friendships, to planning an escape together. The game largely consists of conversation, alongside silent, physical signals players give each other to re-establish their characters' intimacy.","friendship, superhero, distance, conversational",,
