Title,Designers,Styles of Play+key,link+url,Description,Tags+key,Designers Work+url
Active Shooter,Tim Hutchings,"Board game, Live-action or Tabletop Role Play",http://www.goldencobra.org/pdf/ActiveShooter_TimHutchings.pdf,"In Active Shooter the players take on the role of students involved in a school shooting. Difficult subject matter is addressed with a combination of free role play, voting mechanics, and a simple board game.","Serious, Everyday life, Relationships",
The Adventurers,Jesper Stein Sandal,"Live-action Role Play, Mixed or Semi-live",,"A game about the fears and doubts of a group of adventurers as they celebrate on the eve of their first adventure. How will they deal with their new life as soon-to-be heroes, and will we find out who they really are, as they are about to cross the threshold into the life of adventurers?","Comedy, Fantasy",
The Aftermath,William Nichols,Live-action Role Play,http://www.goldencobra.org/pdf/Aftermath%20larp%20Final%20for%20Golden%20Cobra.pdf,"The Aftermath explores changes in privilege, power and social expectation due to a short-term physical injury. This mobility impairing injury causes long standing effects social effects, and changes relationships. Using the spoon metaphor, the aftermath explores how one injury changes the lives and relationships of everyone involved.","Serious, Everyday Life, Relationships",
Artist: Unrecognized,Mads Brynnum,Mixed or Semi-live,http://www.goldencobra.org/pdf/artist_unrecognized.pdf,"An RPG sitcom about stardom, fame, and recognition. The game revolves around a group of likeable, but somewhat awful artists and their petty struggles to be more successful, more famous, or just more something than their peers. They usually fail.",Comedy,
The Bear,James Ryan,Live-action Role Play,http://www.goldencobra.org/pdf/TheBear-JamesRyan.pdf,"The Bear divides players into factions: Prisoners, who time-travel to save the world from nuclear war; Camp Police, who monitor and interrogate the Prisoners; and The Dead, citizens of the past who are unaware of their impending doom. Will players learn enough from one another to prevent their fate?","Science Fiction, Everyday Life, Dating, Time Travel",
The Boy Who Cried Werewolf,Willow Palacek,"Live-action Role Play, Party Game",http://www.goldencobra.org/pdf/boywhocriedwerewolf.pdf,"The Boy Who Cried Werewolf is a game about a village in the state of crisis, and the villagers willing to do anything to make that crisis go away... and perhaps use it to their advantage. It's about taking a situation that's familiar and digging deeper, turning it on its head. You've probably heard of the popular game Werewolf. What happens if there is no Werewolf, only bad luck and bastards?","Comedy, Fantasy, Relationships, Horror, Politics, Party Game",
Café Incognito,Mo Holkar,"Live-action Role Play, Pervasive",http://www.goldencobra.org/pdf/Cafe%20Incognito.pdf,"Café Incognito: that busy, bustling hub where the secret agents of four rival countries mingle and meet. Can you keep your head, and keep your identity secret, while puzzling out the loyalties of your fellows? A yarn-spinning whirlwind of allies, enemies, truth, lies, gossip and garbled codephrases.",,Comedy
Charge of the Light-Bearer,Dylan Nix,Mixed or Semi-live,http://www.goldencobra.org/pdf/Charging%20of%20the%20Light-Bearer.pdf,"Charging of the Light-Bearer is a game of onerous solutions. As elders you are one, but one of you must stand out. None want the blessing of being the new light-bearer, but one must take up the call. Will it be you?","Serious, Myth, Ritual",http://yepnix.com/
Chimerical Defense Force,Eva Schiffer,"Live-action Role Play, Tabletop Role Play, Mixed or Semi-live",,Chimerical Defense Force is a game for 3 to 6 players who take on the roles of chimerical monsters planning the defense of their dungeon home against adventurers.,"Comedy, Fantasy, Everyday life, Myth",
Conse|cution,Jonas Richter,Mixed or Semi-live,http://www.goldencobra.org/pdf/GoldenCobraConsecution_final.pdf,"Conse|cution is a short, freeform game about persecution and some of its consequences. You play a short story about a family who hides from persecution and flees into exile with the aid of several helpers. The game focuses on the strains endured and the small community forged.","Comedy, Espionage, Puzzle, Non-Narrative",http://blog.ukg.co.uk/
Contact,Jay Treat,Mixed or Semi-live,http://www.goldencobra.org/pdf/Contact%20(the%20Touching%20Game).pdf,"Contact is a silly party game that tackles some serious issues. Partner with everyone, find new ways to make physical contact, act out unpredictable quirks, and try to guess your friends' quirks.","Comedy, Relationships, Non-narrative",http://treatgames.com/
Conventioneering,Thomas Gallecier,Live-action Role Play,http://www.goldencobra.org/pdf/GoldenCobraChallenge-Conventioneering.pdf,"Conventioneering is a satirical pick-up-and-play freeform game in which 2 to 8 players take on the role of strangers discussing various topics while waiting in line to an event, or unwinding in the lobby of their hotel after a long day at the con.","Comedy, Everyday life, Meta",
Deal,Matthijs Holter,"Live-action Role Play, Tabletop Role Play, Mixed or Semi-live",http://www.goldencobra.org/pdf/golden_cobra_deal.pdf,"In this game, love doesn't exist. Good luck with your relationship.","Serious, Relationships",http://norwegianstyle.wordpress.com/
