Designers,Title,Description,Styles of Play+key,Tags+key,Designers Work+url,link+url,Most Recent Version+url,not-eligible,Large Text+url
Jeffrey Dieterle,The Affliction,"A short game exploring the intersection of medical anxiety, illness, and interpersonal relationships.",Freeform larp,"Serious, medical, health",,http://www.goldencobra.org/pdf/2015/The%20Affliction_JeffreyDieterle.pdf,,,
Matt Bohnhoff,Anything Helps,A single player story game where the player creates the diary of a homeless person. It is played on a street corner using the vehicles that stop at the intersection as a randomizer.,Epistolary/Writing,"Single-player, outdoor, homeless",,http://www.goldencobra.org/pdf/2015/AnythingHelps-GoldenCobra_MattBonhoff.pdf,,,
Alex Carlson,As we know it,"As a human survivor of the alien invasion, what is your fate? What is the fate of your fellow survivors?",Freeform larp,"Apocalyptic, texting, isolation",,http://www.goldencobra.org/pdf/2015/Asweknowit_AlexCarlson.pdf,,,
Khelren & Steve Jakoubovitch,Before you leave,"A 2-hour-long game for two players about grief, communication and the memories that remain after you’ve lost someone.",Freeform larp,"memory, ghost, communication, love",https://www.patreon.com/Khelren,http://www.goldencobra.org/pdf/2015/Before%20you%20leave_KhelrenandSteveJakoubovitch.pdf,,,
Laurel Halbany,Better,"BETTER is a freeform game meant to explore themes of group dynamics, social pressure, and consensus reality. Each player is part of an experiment, testing a new therapy protocol that allows group opinions to shape individual reality.",Freeform larp,"gestalt, interpersonal, conformity",http://www.neverjaunty.com/blog,http://www.goldencobra.org/pdf/2015/Better_LaurelHalbany.pdf,,,
Kirsten Hageleit,Beyond the Wall,"A physical larp about life, memory, and the (re)construction of self.",Larp,"Emotional, physical roleplay, character building",http://www.livegamelabs.com/about/kirsten-hageleit/,http://www.goldencobra.org/pdf/2015/BeyondTheWall_KirstenHageleit.pdf,,,
Taylor Stokes,Blessed be the Host of the King of Heaven,Blessed Be the Host of the King of Heaven! is a freeform larp that follows the aftermath in Heaven after Lucifer's fall. All players take the role of Angels who will decide what happens what is to be done through mechanics that limit how the Angels may discuss the situation at hand.,,Voice Stature Authority Exclusion,,http://www.goldencobra.org/pdf/2015/BlessedbetheHostoftheKingofHeaven_TaylorStokes.pdf,,,
Nicolas Hornyak,Celestial Bodies,"Celestial Bodies is an abstract freeform larp about the relationships between astronomical objects sucheck as stars, planets, and more--all of which can never touch, lest they face destruction. Players explore individual metaphors in an extended dance for 30-60 minutes as they do so, in a collaborative intimate environment for up to four players.",Freeform larp,space mythology abstract non-touch,www.nicolashornyak.com,http://www.goldencobra.org/pdf/2015/CelestialBodies-FreeformLarpbyNicolas%20Hornyak.pdf,,,
Tim Hutchings,A Crow Funeral,Opinionated crows debate a murder-mates death during a game about frames of reference and touching hands.,Freeform larp,"Crows, debate, short",Plagmada.org,http://www.goldencobra.org/pdf/2015/CrowFuneral%20ver4_TimothyHutchings.pdf,,,
Dessert,John Yannush,,,,,http://www.goldencobra.org/pdf/2015/Dessert-FreeformGamebyJohn%20Yanush.pdf,,,
Betsy Isaacson,Drink Me,"Three mysterious travelers, all hailing from Victorian London, run into one another at a place of great power and mystery -- the famed Cave of Elixir. Within the cave there are six potions, which could perhaps grant their deepest desires, and they all seem heedless of any price they might have to pay.",Larp,"Dark, Weird, Victorian",,http://www.goldencobra.org/pdf/2015/Drink%20Me_BetsyIsaacson/,,,
Vivian Abraham,Dystopia,"As four teenagers in a dystopian future, you have lived your lives in fear and ignorance. Now, on the day on which the authority will determine your fate, you have decided that it is time to start making your own choices. But in a world where the truth is hidden, can you trust each other?",Freeform larp,YA dystopian LARP for new gamers,,http://www.goldencobra.org/pdf/2015/Dystopia_VivianAbraham.pdf,,,
Jesse Coombs,Exclusive Listing,Exclusive Listing is a heartbreaking game of buried feelings. We see scene of a couples imagined life that never will be.,Pervasive (public play),heartbroken fantasy real estate,https://www.google.com/+JesseCoombs,http://www.goldencobra.org/pdf/2015/ExclusiveListing_JesseCoombs.pdf,,,
Emily Asmann,Faerie Circle,A freeform game for building empathy.,Freeform larp,"Empathy, Marginalization, Queer, Fantasy",,http://www.goldencobra.org/pdf/2015/FaerieCircle-GC15_EmilyAsmann.pdf,,,
Rose Danger Lalonde,Fight Truck,"Fight Truck is a game about taking your fate away from the people who would control you and then chucking it in the back of a rented U-Haul. Written for queer folks, by a queer lady.",Larp,"Experimental,Dangerous gender magic",,http://www.goldencobra.org/pdf/2015/Fight%20Truck_RoseDangerLalonde/,,,
Michael Such,For a Long Time I Would Go to Bed Early,"An American Freeform about memory, empathy and sensation inspired by Proust's ""In Search of Lost Time."" Players stitch together memories of their lives into one using improv inspired storytelling and movement.",Freeform larp,"memory, sensation, storytelling, realistic",,http://www.goldencobra.org/pdf/2015/ForalongtimeIwouldgotobedearly_MichaelSuch.pdf,,,
Piotr Duda-Dziewierz,Fragments,"Fragments is an abstract family drama about a child and two parents, one of whom gradually succumbs to a deadly disease. Played in reverse, the three different viewpoints create the story about what happened.",Freeform larp,"Everyday Life, Serious, Relationships",http://alexandria.dk/english#adayattheoffice,http://www.goldencobra.org/pdf/2015/Fragments_PiotrDuda-Dziewierz.pdf,,,
Josh Fox,Gone but not Forgotten,"Gone but not forgotten is about ghosts, people who died with major issues unresolved. Now they are trapped in limbo, haunted by the emotions that dominated their lives - and that is where they will stay unless they can achieve closure.",Freeform larp,"emotional, improvised, atmospheric, relationships",http://www.blackarmada.com,http://www.goldencobra.org/pdf/2015/Gonebutnotforgotten_JoshuaFox.pdf,,,
Shawn Stokes,Guiding Light,Guiding light is an American freeform style game about depression that is meant evoke thought and empathy for the daily struggles that depression causes sufferers.,Freeform larp,,,http://www.goldencobra.org/pdf/2015/GuidingLight_ShawnStokes/,,,
Jay Treat,Halloween Survival Guide,"Halloween Survival Guide is a freeform game you can play while you greet trick or treaters on Halloween... and at no other time. Children are people-eating monsters and reveal their true appearance only on Halloween, when they stalk the neighborhoods for prey. Candy is the key to surviving this dangerous night, but it has weird and powerful effects on our emotions.",Freeform larp,"Halloween, freeform, emotion, layer",TreatGames.com,http://www.goldencobra.org/pdf/2015/HalloweenSurvivalGuideLARP_JayTreat.pdf,,,
