Title,Designers,Designers Work+url,Description,Tags+key,Styles of Play+key,link+url,Special Thanks to
4-3,Oscar Biffi & Alessandro Giovannucci,https://drive.google.com/open?id=1g9WgKein7Q7OAlOz6ZAZkHBSwX3DGRpp,"The city stops, gathered around the stadium. The derby splits it in two. In the locker room, eleven players prepare for something more than just another game. On the other side of the wall, their long-time rivals. A ritual, a sacred space for the length of the match, only extinguished by the referee's final blow on the whistle. And between that, some sublime moments and many ridiculous episodes. In a word, soccer.","Soccer, challenge, team vs individual",Larp,http://www.goldencobra.org/pdf/2018/Biffi%20Giovannucci%20-%204-3.pdf,
A Girl Like You,Dilly Moore,,"A wink across the room. A cigarette, placed in someone else's mouth. â€œWhy are you wearing that, love?â€. â€œGet you a drink, myÂ  darling?â€. Dancing with hips pressed together. A challenge to a fight. Fingers intertwined. â€œYou need to leave, nowâ€.Â 

In A Girl Like You, you come together with your friends and recreate a lesbian club in 1950s England.","lesbian, queer, historical",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Dilly%20Moore%20-%20A%20Girl%20Like%20You.pdf,
Amuse Bouche,Betty Bong,, A larp about good taste...in literature. ,"Haute Cuisine, Intellectuals in a White Tower,",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Bong%20--%20Amuse%20Bouche%20larp.pdf,
At Infinity,Anne Ratchat,,"A game about living a parallel life with another - interacting with the same people, even often having mutual friends, yet impacting each other's lives only ever indirectly.","Relationships, Drawing, Geometry",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Ratchat%20--%20At%20Infinity.pdf,
At the end of the river,Kamil Bartczak,https://docs.google.com/document/d/1_LF4ZPtFqhIleKAJQz9QOFAV0avK64E8GJP-gYutat0/edit?usp=sharing,"Nanolarp about grief. Siblings are looking through the things that were belonging to their late mother, weaving their share memory of her.","grief, nanolarp, memory",Freeform larp,http://www.goldencobra.org/pdf/2018/Bartczak%20--%20At%20the%20End%20of%20the%20River.pdf,
Benefits & Bureaucrats,Michael Such,,"A tragic fantasy farce on the theme of benefits and bureaucrats.

War has come and gone from the Kingdom and through much struggle the evil wizard Klandoor has been defeated. In their infinite wisdom and compassion, the Monarch has begun programs of relief for the poor and sick. For these benefits many Heroes have undertaken a long journey to the Monarch's Castle. Now they face the final hurdles; enigmatic claim forms and assessment interviews with overworked Clerks.

Will the Heroes get the help they sorely need? We will play to find out. It probably won't be fair or just.","Competitive, convention, clerical",Freeform larp;Larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Such%20-%20Benefits%20Bureaucrats.pdf,
The Circle of Heaven,Mark Stone,,Circle of Heaven teaches restorative justice techniques by inviting players to take on the roles of gods attempting to resolve pervasive injustices and violations in their community.,"mask, teaching, justice, community",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Stone%20--%20The%20Circle%20of%20Heaven.pdf,
Cram,Elizabeth Stong,,"You are all college students the night before an exam. You've been cramming for hours and need a break and some food. During the break, at least one player is desperate and going over their study guide on a subject, quizzing other people. The others are just trying to do whatever it is college students do when they are sleep deprived at a diner.
","Breakfast, studying, college",Freeform larp;Larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Stong%20--%20Cram.pdf,
Dim Sum? More like Git Sum!,Ross Cheung,...I should really work on this,"Dim Sum originally began as a Cantonese weekend brunch where people eat a number of small dishes, and has since morphed into a cultural phenomenon where friends and families gather together.  In this larp you play a group of family and friends who get together and navigate the complex social rules of Dim Sum and engage in games of status and face-saving, all over steaming hot tea and dumplings.","Dim Sum, Food, Pervasive, Passive-Aggressive Insults",Larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Cheung%20--%20Dim%20Sum%20the%20larp.pdf,
Dungeons and Drudges: a game about an invisible class,Robbie Boerth,"http://ludoverse.blogspot.com/
https://plus.google.com/u/0/+RobbieBoerth","""Dungeons and Drudges"" is a darkly humorous look at the tireless and largely unseen laborers who keep the master's dungeon in working order. The game is about the absurd demands placed upon the dungeon drudges, the surreal work environments they face, and their heroic struggles to earn respect.","oppression, resistance, labor, respect",Freeform larp,http://www.goldencobra.org/pdf/2018/Boerth%20--%20Dungeons%20and%20Drudges.pdf,
