Title,link+url,Designers,Designers work+url,Description,Tags+key,Styles of Play+key
#BossBabe,https://www.goldencobra.org/pdf/2021/Montoya--HashtagBossBabe.pdf,Olivia Montoya,"http://www.oliviamontoya.com/, http://metaparadox.itch.io/","#BossBabe is a game about multi-level marketing (MLM), and specifically how MLM companies prey on women’s hopes and fears and push them to be horrible to each other and their friends and families. It’s also about how MLM companies often operate like cults.
The game is played over Discord, with a combination of video chats and text chats, using Discord’s roles, permissions and different types of channels to simulate video calls, livestreams, social media, and group chats.
Each player will be playing a distributor for a multi-level marketing company where most distributors are women. All characters will be connected to ""teams"" according to the ""upline""/""downline"" structure of the company. 
The scenario of the game is that 3 hours remain in the last day of the month. Each character has a primary goal that they need to achieve by the end of the month. Achieving that goal will generally require exploiting characters beneath them, or characters’ families, friends, and strangers. Characters may have noble goals, but the structure of the company and their own desperation may lead them down a path they aren't proud of.
","multi-level marketing, commercial cults, edu-larp, Discord","Freeform larp, Larp, Chat/Message, Streaming/Online Face to Face, Video/Transmedia"
2999年 布教の旅 (2999: Missionary Journey),https://www.goldencobra.org/pdf/2021/%e6%9c%a8%e5%a0%b4(kiba)-2999MJ.pdf,Tamura Mitsunobu (木場),https://lumberyard.hatenablog.com/,A simulated experience of a space missionary visiting a remote planet and proselytizing space monotheism to the inhabitants.,"Science fiction, encounters with the unknown, religion and faith, anomalous arguments","Freeform larp, Larp, Committee Larp, Tabletop/Pencil & Paper, Streaming/Online Face to Face, Edu-Larp"
All I Want for Christmas is to Cancel the Office Holiday Party,https://www.goldencobra.org/pdf/2021/Rothfeder--AllIWantforChristmasistoCanceltheOfficeHolidayParty.pdf,David Rothfeder,,"Fall is nearly over and the shadow of Christmas will soon be upon you.  And with Christmas comes the dreaded office holiday party.  Most of your peers love the event.  
Everyone except you.  
All of you are absolutely miserable at the party, but for different reasons.  The problem is that while the party isn’t mandatory, it is THE gathering of the year and missing tends to have both social and professional consequences.  ","Non-Christian, Holiday Trauma, Substance Recovery","Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face"
Be Witch,https://www.goldencobra.org/pdf/2021/Arons--Be_Witch.pdf,J. Michael Arons,,Witches and Wives dish and help each solve the problems of being a woman in 1960s America,"Magic, Matriarchal, Mischief, Mirrors","Freeform larp, Committee Larp, Streaming/Online Face to Face"
Crypt Kickers,https://www.goldencobra.org/pdf/2021/CaptainJimBlood--Crypt%20Kickers.pdf,Captain Jim Blood,https://writingduels.com,"Half a century has passed since the infamous ""Monster Mash"" took place. Now, the original planner's grandchild wants to host a party with the all the same guests. Gather online for this monstrous committee LARP and decide where to host an unforgettable Halloween bash. The challenge? Everybody must agree on the place, otherwise the party doesn't happen. Dim the lights, cue up the music, and negotiate for a hideous celebration. 
This is Crypt Kickers.","halloween, comedy, persuasion, music","Larp, Committee Larp, Streaming/Online Face to Face, Seasonal Larp, Halloween Larp"
Curimba,https://www.goldencobra.org/pdf/2021/Coral%20Amarelo--Curimba.pdf,Coral Amarelo (Caue Reigota; Tadeu Rodrigues; Vitor Soriano),https://www.facebook.com/coraljogos,"This is a larp in which sacred entities gather to decide who will take forward in an attempt to resolve a crisis that afflicts humanity. An approaching drought? The rising unemployment? A despotic leader who devastates the nation? The ghost of a war that announces itself? Comfort to a person who has lost a loved one? Regardless of the theme, the operation of the larp is similar: a group of entities that are available at the moment meet and discuss who will intervene in the situation. The first problem is to decide who will do it, as entities sometimes flirt with pride or arrogance, and compete for every opportunity to receive the praise of humans.",Larp; Umbanda; Religion; Laog,"Freeform larp, Larp, Committee Larp, Chat/Message, Streaming/Online Face to Face, Performance"
"Dear God,","https://www.goldencobra.org/pdf/2021/Ingwersen--DearGod,.pdf",Halden Ingwersen,https://recreationalcannibalism.itch.io/,"Dear God, is a game about prayers and rituals",Aesthetic letter writing rituals,"Freeform larp, Larp, Letter Writing, Arts & Crafts, ritualistic play"
Deep Fry 7,https://www.goldencobra.org/pdf/2021/Trenti--DeepFry7.pdf,Lorenzo Trenti,https://drive.google.com/file/d/1kNAl6otSCN3AFT0HMVtjugl2eJxZ3_Qj/view?usp=sharing,Siete cuochi interstellari in un mondo in cui la civiltà terrestre ha contribuito all'Ecumene dei popoli e dei pianeti portando in dote alle altre culture il punto più alto della propria evoluzione: la buona cucina!,"cooking, minorities, ecumenic, conviviality",Committee Larp
Different from All Other Nights,https://www.goldencobra.org/pdf/2021/Ratchat--DifferentfromAllOtherNights.pdf,Anne Ratchat,https://mngwa.itch.io/,"Children always have a way of making the Passover Seder special for themselves. Your family’s childhood tradition is a little bit special, the annual Passover play, written and performed in one night with no limitation, just a pure expression of creativity. It is always an interpretation, varying each year in seriousness and accuracy, of the story of the ten plagues and the subsequent exodus, ending right as the Jews leave. What was started as a way to keep the kids and their goyim friends entertained by passing on what the kids had learned in Sunday School has become a highlight of the Seder, as no one ever knows what to expect.","Passover, Play, Children","Freeform larp, Larp, Streaming/Online Face to Face, Video/Transmedia, Performance"
Disciplinary,https://www.goldencobra.org/pdf/2021/Dillymore--Disciplinary.pdf,Countess Dillymore,,"As an employee of Carlton Electronics, you have been selected to serve on a Disciplinary Appeal Committee, reviewing the decision to dismiss Lily Schneider
from employment.","Lesbian, historical, committee, workplace","Freeform larp, Larp, Committee Larp"
First Sabbat,https://www.goldencobra.org/pdf/2021/HillandDragga--FirstSabbat.pdf,Kate Hill and Charlotte Dragga,"https://borrowed-light.itch.io/, http://makeascenemn.org/en/scenarios-2020/","It's 1998. Small town life can be stifling, especially when you’re a teenager and don’t really fit in. But you’ve found a community on an online IRC channel, one where people talk about and teach about your faith, Paganism. Well, you’re pretty sure it’s your faith. You only really started teaching yourself a few months ago. Now, you and a group of others are meeting up, secretly, for your first in-person ritual to celebrate Samhain.  Can you, using your favorite websites, text chat with your friends to create the ritual, plan it, and make airtight plans for secrecy, all in the hour before your mom needs to use the phone?","NeoPaganism,  early internet culture, ","Freeform larp, Committee Larp, Chat/Message"
GRANDPA,https://www.goldencobra.org/pdf/2021/StarkandMorningstar--Grandpa.pdf,Jason Morningstar and Lizzie Stark,https://www.dropbox.com/s/ygwq0nolpcw68gy/grandpa_01.pdf?dl=0,"Usually family meetings are pretty relaxed. You all like each other. You aren’t fools. No one is an opinionated, impulsive asshole. 
Well, Grandpa was an opinionated, impulsive asshole. But he’s dead. He’s also coming to the family meeting.","Ghosts, Family, Zoom","Freeform larp, Committee Larp, Streaming/Online Face to Face"
Great Unknown,https://www.goldencobra.org/pdf/2021/Cooper--GreatUnknown.pdf,Tracy Cooper,,"Today your tiny gray planet was shaken, both literally and figuratively, by the arrival of a figure the likes of whom none on your planet have seen before. The leader of Larsh, the nation of your planet where this stranger has landed and is being held in the main administrative building, has called the leaders of the other nations to a virtual meeting with this newcomer to discuss what to do about this development. As one of these leaders who has seen both beautiful and terrible relationships between your species and others, the fate of your planet may be in your hands.","sci-fi, committee LARP, online LARP","Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face"
